date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform,orders,new_orders,new_customers,total_revenue,gross_profit,cogs,roas,cpc,ctr,total_daily_spend,cac
2025-05-16,ASC,NY,Facebook - ASC - C01,124603,1888,1442.28,4706.23,Facebook,2452,987,989,238010.95,124434.71,113576.24,3.2630487838699835,0.7639194915254237,1.5152123143102494,40107.26,40.55334681496461
2025-05-17,ASC,NY,Facebook - ASC - C01,139596,2086,1235.47,3674.32,Facebook,2173,772,761,224086.4,126119.02,97967.38,2.9740260791439694,0.5922674976030681,1.4943121579414882,41682.96,54.77392904073587
2025-05-18,ASC,NY,Facebook - ASC - C01,167700,2635,1169.83,3317.04,Facebook,2749,1275,1192,226582.57,128282.08,98300.49,2.8354889171930964,0.4439582542694497,1.571258199165176,42959.17,36.03957214765101
2025-05-19,ASC,NY,Facebook - ASC - C01,132781,2045,1775.26,5250.54,Facebook,2060,1012,960,203540.86,100212.05,103328.81,2.957617475750031,0.8680977995110024,1.540129988477267,39938.04,41.602125
2025-05-20,ASC,NY,Facebook - ASC - C01,115201,1634,987.1,2409.58,Facebook,1791,910,908,188081.24,115962.11,72119.13,2.4410698004254887,0.6041003671970624,1.4183904653605437,33217.76,36.58343612334802
2025-05-21,ASC,NY,Facebook - ASC - C01,101433,1500,994.24,2607.73,Facebook,2874,934,872,251286.55,123962.87,127323.68,2.6228375442549083,0.6628266666666667,1.478808671734051,42801.14,49.08387614678899
2025-05-22,ASC,NY,Facebook - ASC - C01,364349,5045,3057.92,9265.95,Facebook,1704,848,842,186182.97,99768.23,86414.74,3.0301479437002934,0.6061288404360753,1.3846614098021401,35114.58,41.70377672209026
2025-05-23,ASC,NY,Facebook - ASC - C01,161201,2410,2246.92,6257.68,Facebook,2745,1268,1177,243080.55,130791.92,112288.63,2.785003471418653,0.932331950207469,1.4950279464767589,38269.09,32.51409515717927
2025-05-24,ASC,NY,Facebook - ASC - C01,194041,2937,1629.88,4530.73,Facebook,3096,1097,1060,282268.06,174043.94,108224.12,2.779793604437136,0.5549472250595846,1.5135976417355095,47081.29,44.416311320754716
2025-05-25,ASC,NY,Facebook - ASC - C01,258008,4161,2689.69,7821.79,Facebook,2254,1023,1041,227809.53,114404.11,113405.42,2.9080637545590755,0.6464047104061523,1.6127406902111563,38483.8,36.968107588856874
2025-05-26,ASC,NY,Facebook - ASC - C01,227064,3122,2608.66,6682.26,Facebook,3820,1330,1271,270095.08,159451.57,110643.51,2.5615680080961107,0.8355733504163997,1.3749427474192297,41851.42,32.92794649881983
2025-05-27,ASC,NY,Facebook - ASC - C01,205140,2828,2752.07,7824.42,Facebook,2138,1122,1142,208047.23,113217.2,94830.03,2.843103554778766,0.9731506364922207,1.3785707321828995,37522.38,32.85672504378284
2025-05-28,ASC,NY,Facebook - ASC - C01,274009,3830,2057.01,5551.02,Facebook,2895,1326,1271,285303.34,142558.79,142744.55,2.6985867837297826,0.5370783289817233,1.3977643070118135,46185.43,36.33786782061369
2025-05-29,ASC,NY,Facebook - ASC - C01,362869,5502,3587.44,10916.51,Facebook,3396,1580,1463,280842.28,166797.62,114044.66,3.0429805097785607,0.6520247182842602,1.5162496658573756,44560.4,30.458236500341766
2025-05-30,ASC,NY,Facebook - ASC - C01,173645,2552,2221.42,6107.35,Facebook,3695,1364,1272,262078.97,152352.5,109726.47,2.749299997299025,0.8704623824451411,1.4696651213683087,46977.39,36.93191037735849
2025-05-31,ASC,NY,Facebook - ASC - C01,183112,2798,1964.58,5195.72,Facebook,2839,1143,1124,311053.4,191986.06,119067.34,2.6446975943967668,0.7021372408863473,1.5280265629778496,44786.52,39.84565836298932
2025-06-01,ASC,NY,Facebook - ASC - C01,207865,3222,1318.24,3550.39,Facebook,2571,1279,1226,255879.74,135261.16,120618.58,2.693280434518752,0.40913718187461207,1.5500445000360812,45391.46,37.02402936378466
2025-06-02,ASC,NY,Facebook - ASC - C01,88685,1422,990.18,2627.67,Facebook,3118,1242,1205,307232.77,148210.99,159021.78,2.653729624916682,0.6963291139240506,1.6034278626599765,46107.8,38.263734439834025
